,file_name,Subject1,Subject2,n_success,n_failures,norm_score,skill,task_score,max_seq,avg_seq,bounce_hull,bounce_std,bounce_sp_entropy,bounce_sc_entropy,rt_lyp,samp_en,std_rt,avg_p1,avg_p2,avg_p3,var_p1,var_p2,var_p3,avg_start_fs,std_start_fs,session_class,Tobii_percentage
50,2023-02-07_A_T02,SE028B,,251,6,10.86811871,0.976653696,0.952912126,115,35.85714286,514504.3041,151.1514369,0.524726829,0.585348056,0.929713786,1.00995127,7.548130249,35.31075697,24.43027888,27.88844622,5.693975623,5.617818082,3.708972911,39.90836653,7.250468437,0,96.176538
51,2023-02-07_A_T06,SE028C,,247,3,12.2324159,0.988,0.976558279,142,61.75,172301.8039,96.83621911,0.407459524,0.648322851,-1.039353013,0.385811015,12.34952538,30.67206478,24.87044534,24.27935223,5.02239408,5.53745226,7.089287321,32.84210526,6.718408485,0,97.56173
52,2023-02-08_A_T03,SE029B,,221,5,10.85536235,0.977876106,0.955515385,106,36.83333333,479999.724,138.3169577,0.500793029,0.567005997,-2.416806936,0.988973568,6.927839724,35.32579186,24.59728507,28.05429864,4.304340116,5.070167548,3.046657108,41.80542986,7.338805766,0,96.336404
53,2023-02-15_M_T04,SE030A,,111,19,6.879533388,0.853846154,0.732853223,19,5.55,542637.313,189.5900774,0.571370047,0.627748339,0.773906171,1.046496288,15.36134049,39.1981982,29.18018018,35.02702703,7.392252847,9.702046035,4.829450679,54.42342342,10.93597217,2,86.418026
54,2023-02-15_M_T05,SE030C,,71,19,5.709893489,0.788888889,0.621270573,18,3.55,364958.8367,158.2620553,0.540038896,0.642136266,0.92610985,1.230730253,13.9086486,37.12676056,29.3943662,34.49295775,7.58970685,8.157738697,4.758604481,58.25352113,9.866315307,2,98.611164
55,2023-02-15_A_T01,SE031A,,222,0,9.404388715,1.0,1.0,222,222.0,312079.568,121.9232559,0.453328727,0.647900359,1.289481282,1.181686833,7.091211835,40.81531532,25.78378378,39.73423423,4.135883365,4.012155866,4.769138693,52.24774775,5.847681405,0,97.924862
56,2023-02-15_A_T02,SE031B,,153,14,9.423728814,0.916167665,0.840141277,36,10.2,567143.1986,182.417507,0.572811893,0.62991986,1.004946828,1.311534286,10.51512319,34.00653595,25.62091503,28.77777778,6.269019929,7.611486449,4.867153108,45.5620915,9.245263805,0,93.93655
57,2023-02-27_A_T01,SE032B,,76,29,4.901960784,0.723809524,0.523304925,12,2.533333333,274792.5625,149.1877473,0.521132783,0.614142422,0.795528769,0.950802784,9.766101131,35.18421053,24.28947368,31.73684211,5.215640765,4.698308177,6.048854657,44.59210526,6.493271075,2,93.791692
58,2023-02-27_A_T02,SE032A,,190,6,10.66666667,0.969387755,0.938086365,97,27.14285714,513049.1198,160.4298763,0.539081116,0.565073423,0.962092459,0.935983812,9.323192123,34.35263158,22.69473684,30.81052632,5.000722939,6.047311163,4.451598736,42.72105263,7.77249394,0,97.017806
59,2023-03-09_A_T04,SE033C,,213,7,9.288065287,0.968181818,0.9382358,92,26.625,482405.7511,134.2131208,0.490474206,0.645255633,-2.072665215,1.045137674,8.229148373,41.30046948,25.6713615,33.9342723,6.637059828,5.543255135,3.606905097,43.16901408,8.944774616,0,99.367548
60,2023-03-09_A_T05,SE033B,,217,6,10.2417241,0.97309417,0.943668014,130,31.0,308487.9481,121.6564164,0.468634496,0.650861934,-1.130321622,0.814462541,8.875992353,36.49769585,27.30875576,28.26267281,6.318084952,5.32203201,3.368345223,41.16589862,8.562598891,0,99.084908
61,2023-03-15_A_T01,SE034C,,216,7,11.09930961,0.968609865,0.936665801,80,27.0,580909.7608,170.9422999,0.545488106,0.57972259,-1.611769199,1.003302109,8.930658756,33.20833333,25.27314815,25.81944444,5.876674308,5.723928114,4.408513614,36.55092593,8.251666446,0,94.765558
62,2023-03-15_A_T06,SE034A,,67,19,5.917889286,0.779069767,0.610212086,11,3.35,567906.6634,184.421199,0.573923865,0.635934271,0.673259974,1.250418302,12.93949799,38.26865672,26.74626866,29.80597015,8.276169872,7.126455407,7.338792462,49.26865672,8.006680214,2,98.546648
63,2023-03-16_A_T05,SE035A,,36,22,2.463487595,0.620689655,0.392204215,3,1.565217391,386111.8881,173.9772421,0.549736848,0.642444353,0.554788351,1.185623666,9.575359001,35.91666667,29.08333333,34.75,5.549649639,5.702704037,6.313015656,57.44444444,8.247708249,2,89.450222
64,2023-03-16_A_T06,SE035C,,170,8,9.513183393,0.95505618,0.914619542,115,18.88888889,475897.3059,146.2105319,0.510933462,0.577226591,1.246310353,1.124744429,7.960621074,36.62941176,26.65294118,32.64705882,5.239921947,4.356552556,4.417094819,44.64705882,9.215340002,0,93.220224
